"indicator","year","value","population_group","unit","disease","sex"
"crude_mortality",2021,158.7,"urban","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2020,161.4,"urban","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2019,161.56,"urban","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2018,163.18,"urban","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2017,160.72,"urban","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2016,160.07,"urban","per 100,000 population","malignant_neoplasms","all"
"crude_mortality",2021,24.15,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2020,22.79,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2019,21.44,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2018,21.15,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2017,20.52,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2016,20.43,"urban","per 100,000 population","endocrine_nutritional_metabolic_diseases","all"
"crude_mortality",2021,165.37,"urban","per 100,000 population","heart_disease","all"
"crude_mortality",2020,155.86,"urban","per 100,000 population","heart_disease","all"
"crude_mortality",2019,148.51,"urban","per 100,000 population","heart_disease","all"
"crude_mortality",2018,146.34,"urban","per 100,000 population","heart_disease","all"
"crude_mortality",2017,141.61,"urban","per 100,000 population","heart_disease","all"
"crude_mortality",2016,138.7,"urban","per 100,000 population","heart_disease","all"
"crude_mortality",2021,140.02,"urban","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2020,135.18,"urban","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2019,129.41,"urban","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2018,128.88,"urban","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2017,126.58,"urban","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2016,126.41,"urban","per 100,000 population","cerebrovascular_disease","all"
"crude_mortality",2021,54.49,"urban","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2020,55.36,"urban","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2019,65.02,"urban","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2018,68.02,"urban","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2017,67.2,"urban","per 100,000 population","respiratory_diseases","all"
"crude_mortality",2016,69.03,"urban","per 100,000 population","respiratory_diseases","all"
